324,"Cantonera 25*3",,,,0,0,11,,"un",,,,,,,,,,,,,,,,,
325,"Cantonera 25*5",,,,0,0,7,,"un",,,,,,,,,,,,,,,,,
326,"Cantonera 30*3",,,,0,0,9,,"un",,,,,,,,,,,,,,,,,
327,"Cantonera 40*3",,,,0,0,7,,"un",,,,,,,,,,,,,,,,,
328,"Cantonera T Gr",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
329,"Cantonera T Peq",,,,0,0,8,,"un",,,,,,,,,,,,,,,,,
330,"Cantonera Z Gr",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
331,"Cantonera Z Peq",,,,0,0,7,,"un",,,,,,,,,,,,,,,,,
332,"Carinha De Mao",,,,0,0,2,,"un",,,,,,,,,,,,,,,,,
333,"Carinha De Mao Original",,,,0,0,1,,"un",,,,,,,,,,,,,,,,,
334,"Catana",,,,0,0,23,,"un",,,,,,,,,,,,,,,,,
335,"Cefao De Banheira",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
336,"Cefao Duplo Para Lava Loica",,,,0,0,12,,"un",,,,,,,,,,,,,,,,,
337,"Cefao Flexivel",,,,0,0,12,,"un",,,,,,,,,,,,,,,,,
338,"Cefao Flexivel 110",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
339,"Cefao P $ S",,,,0,0,43,,"un",,,,,,,,,,,,,,,,,
340,"Cefao Para Lava Loica Uma Boca",,,,0,0,11,,"un",,,,,,,,,,,,,,,,,
341,"Cela Rosca",,,,0,0,8,,"un",,,,,,,,,,,,,,,,,
342,"Cerra Cobra",,,,0,0,9,,"un",,,,,,,,,,,,,,,,,
343,"Cerrote Arcor",,,,0,0,2,,"un",,,,,,,,,,,,,,,,,
344,"Cerrote De Ferro",,,,0,0,7,,"un",,,,,,,,,,,,,,,,,
345,"Cerrote De Madeira",,,,0,0,13,,"un",,,,,,,,,,,,,,,,,
346,"Chaleira Electrica",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
347,"Chapa 0.27 Zinco",,,,0,0,24,,"un",,,,,,,,,,,,,,,,,
348,"Chapa 0.30 Zinco",,,,0,0,15,,"un",,,,,,,,,,,,,,,,,
349,"Chapa 0.32 IBR Cor",,,,0,0,50,,"un",,,,,,,,,,,,,,,,,
350,"Chapa De Ferro 1.6",,,,0,0,2,,"un",,,,,,,,,,,,,,,,,
351,"Chapa IBR Branco",,,,0,0,14,,"un",,,,,,,,,,,,,,,,,
352,"Chapa Unitex",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
353,"Chave De Fenda",,,,0,0,20,,"un",,,,,,,,,,,,,,,,,
354,"Chave De Tubo N 12",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
355,"Chave De Tubo N 14",,,,0,0,2,,"un",,,,,,,,,,,,,,,,,
356,"Chave Frances",,,,0,0,6,,"un",,,,,,,,,,,,,,,,,
357,"Choveiro de mao",,,,0,0,16,,"un",,,,,,,,,,,,,,,,,
358,"Choveiro Grande",,,,0,0,8,,"un",,,,,,,,,,,,,,,,,
359,"Choveiro Higienico",,,,0,0,12,,"un",,,,,,,,,,,,,,,,,
360,"Choveiro Medio",,,,0,0,11,,"un",,,,,,,,,,,,,,,,,
361,"Choveiro Pequeno",,,,0,0,8,,"un",,,,,,,,,,,,,,,,,
362,"Cimento Branco",,,,0,0,23,,"un",,,,,,,,,,,,,,,,,
363,"Cimento Cola Chuta",,,,0,0,9,,"un",,,,,,,,,,,,,,,,,
364,"Cimento Cola Leao",,,,0,0,1,,"un",,,,,,,,,,,,,,,,,
365,"Cintas",,,,0,0,1978,,"un",,,,,,,,,,,,,,,,,
366,"Cola De Chapa",,,,0,0,66.5,,"un",,,,,,,,,,,,,,,,,
367,"Cola De Contacto Fevicol",,,,0,0,6,,"un",,,,,,,,,,,,,,,,,
368,"Cola De Contacto Grande",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
369,"Cola De Contacto Medio",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
370,"Cola De Contacto Pequeno",,,,0,0,30,,"un",,,,,,,,,,,,,,,,,
371,"Cola De Madeira Fevicol",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
372,"Cola De Madeira Grande",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
373,"Cola De Madeira Pequeno",,,,0,0,7,,"un",,,,,,,,,,,,,,,,,
374,"COLA Pvc Grande",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
375,"Cola PVC Medio",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
376,"Cola Pvc Pequeno",,,,0,0,18,,"un",,,,,,,,,,,,,,,,,
377,"Cola Tudo",,,,0,0,141,,"un",,,,,,,,,,,,,,,,,
378,"Colchao casal 18",,,,0,0,1,,"un",,,,,,,,,,,,,,,,,
379,"Colchao Casal 20",,,,0,0,1,,"un",,,,,,,,,,,,,,,,,
380,"Colchao Solteiro 15",,,,0,0,1,,"un",,,,,,,,,,,,,,,,,
381,"Colchao solteiro 3/4",,,,0,0,1,,"un",,,,,,,,,,,,,,,,,
382,"Colher De Pedreiro",,,,0,0,38,,"un",,,,,,,,,,,,,,,,,
383,"Colher Ingles",,,,0,0,21,,"un",,,,,,,,,,,,,,,,,
384,"Combota 3/4",,,,0,0,13,,"un",,,,,,,,,,,,,,,,,
385,"Contador de agua 15mm",,,,0,0,6,,"un",,,,,,,,,,,,,,,,,
386,"Contador de agua 20mm",,,,0,0,11,,"un",,,,,,,,,,,,,,,,,
387,"Contador De Agua Zinco",,,,0,0,6,,"un",,,,,,,,,,,,,,,,,
388,"Corda",,,,0,0,466.5,,"un",,,,,,,,,,,,,,,,,
389,"Corrante",,,,0,0,96,,"un",,,,,,,,,,,,,,,,,
390,"Corrante Unitint GR",,,,0,0,76,,"un",,,,,,,,,,,,,,,,,
391,"Corrente Grande",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
392,"Corrente Medio",,,,0,0,10,,"un",,,,,,,,,,,,,,,,,
393,"Corrente Pequeno",,,,0,0,10,,"un",,,,,,,,,,,,,,,,,
394,"Cortina Pequena",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
395,"Cotovelo 1 Polegada",,,,0,0,9,,"un",,,,,,,,,,,,,,,,,
396,"Cotovelo 3/4",,,,0,0,75,,"un",,,,,,,,,,,,,,,,,
397,"Creolina",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
398,"Curva 110 Com Boracha",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
399,"Curva 110 Com Bujao",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
